,幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出,更新時間
0,USD,30.405,31.095,30.775,30.875,2019-03-04 15:37:53.513803
1,HKD,3.761,3.977,3.897,3.957,2019-03-04 15:37:53.513803
2,GBP,39.63,41.75,40.63,41.05,2019-03-04 15:37:53.513803
3,AUD,21.46,22.24,21.73,21.96,2019-03-04 15:37:53.513803
4,CAD,22.7,23.61,23.09,23.31,2019-03-04 15:37:53.513803
5,SGD,22.2,23.11,22.69,22.87,2019-03-04 15:37:53.513803
6,CHF,30.01,31.21,30.67,30.96,2019-03-04 15:37:53.513803
7,JPY,0.2661,0.2789,0.2734,0.2774,2019-03-04 15:37:53.513803
8,ZAR,-,-,2.13,2.21,2019-03-04 15:37:53.513803
9,SEK,2.94,3.46,3.28,3.38,2019-03-04 15:37:53.513803
10,NZD,20.52,21.37,20.9,21.1,2019-03-04 15:37:53.513803
11,THB,0.8452,1.0332,0.9538,0.9938,2019-03-04 15:37:53.513803
12,PHP,0.5226,0.6556,-,-,2019-03-04 15:37:53.513803
13,IDR,0.00183,0.00253,-,-,2019-03-04 15:37:53.513803
14,EUR,34.21,35.55,34.83,35.23,2019-03-04 15:37:53.513803
15,KRW,0.02564,0.02954,-,-,2019-03-04 15:37:53.513803
16,VND,0.00096,0.00146,-,-,2019-03-04 15:37:53.513803
17,MYR,6.475,8.105,-,-,2019-03-04 15:37:53.513803
18,CNY,4.507,4.669,4.579,4.629,2019-03-04 15:37:53.513803
